id,number,playlist_id,tvg_id,display_name,group,group_order,fav_order,uri,logo,description,tvg_shift,favorite,user_agent
1,1,0,'device_id=5083535934645083','device_id=5083535934645083','Pengumuman',0,0,'https://dl.dropbox.com/s/9hl066j6c8wmx9a/mulai.mp4?dl=0','https://iix100.tv21.site/logo/akus.png',,0.0,0,''
2,2,0,'kompastv','kompas','Lokal HD',1,0,'https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1608855210/ei/StrkX_qOE9SGz7sP5_yq8AY/ip/180.254.99.67/id/gIB2egm7tL8.1/itag/95/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D136/hls_chunk_host/r2---sn-2uuxa3vh-wvbz.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/initcwndbps/3240/mh/uj/mm/44/mn/sn-2uuxa3vh-wvbz/ms/lva/mv/m/mvi/2/pl/20/dover/11/keepalive/yes/mt/1608833299/sparams/expire\,ei\,ip\,id\,itag\,source\,requiressl\,ratebypass\,live\,sgoap\,sgovp\,playlist_duration\,manifest_duration\,vprv\,playlist_type/sig/AOq0QJ8wRQIgYBbk9rqc6okdqiawdsPyTDupDdwaurX48BW0gp9mkZACIQCnW-9guHR-xDZrL_yAYHgbQSSENL3okgX4YpfGVtSBvA%3D%3D/lsparams/hls_chunk_host\,initcwndbps\,mh\,mm\,mn\,ms\,mv\,mvi\,pl/lsig/AG3C_xAwRQIgBCTSo-wXTXoRjsCbKiRFWd2ytEa4v_Y0F_v1DqQngtsCIQCp76LsU-3dMnOXrxrhhxMlfNukIyJHzfxA9qOTB0qMsQ%3D%3D/playlist/index.m3u8','https://cdn-production-thumbor-vidio.akamaized.net/8t4Zw0-CJLp77YHMTTs_JwXVnaI=/372x211/filters:quality(75):format(webp)/vidio-web-prod-livestreaming/uploads/livestreaming/image/874/kompas-tv-stream-b35243.jpg',,0.0,0,''
3,3,0,'kompastv','kompastv','Lokal',2,0,'https://cdn13jtedge.useetv.com/joss/15/kompastv/chunklist_w1851052062_b684100_sleng.m3u8?enc=IaPqFiAXAChqq_ZGrMivEw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845459','https://iix123.us.to/logo/kompastv.png',,0.0,0,''
4,4,0,'bein1','bein1','Sports',3,0,'https://cdn13jtedge.useetv.com/joss/15/bein1/chunklist_w232438443_b1344100_sleng.m3u8?enc=LSID7TAhbRox_D6l3632Vw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845463','https://iix123.us.to/logo/bein1.png',,0.0,0,''
5,5,0,'bein2','bein2','Sports',3,0,'https://cdn13jtedge.useetv.com/joss/15/bein2/chunklist_w221943030_b1344100_sleng.m3u8?enc=Mqzb6JIzmXUTwc4xNfCd4A&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845466','https://iix123.us.to/logo/bein2.png',,0.0,0,''
6,6,0,'net','Net FHD','Lokal HD',1,0,'https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1608854609/ei/8dfkX-LIObaf3LUPk4yAsAY/ip/180.254.99.67/id/FWa92qKiY5M.1/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/r3---sn-2uuxa3vh-wvbe.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/initcwndbps/2920/mh/Ki/mm/44/mn/sn-2uuxa3vh-wvbe/ms/lva/mv/m/mvi/3/pl/20/dover/11/keepalive/yes/mt/1608832584/sparams/expire\,ei\,ip\,id\,itag\,source\,requiressl\,ratebypass\,live\,sgoap\,sgovp\,playlist_duration\,manifest_duration\,vprv\,playlist_type/sig/AOq0QJ8wRAIgePHCYNtPjPmye68fo-LsrGm_7Y-i5M-doiUBeFY2Z0ECIHk3vAVd8BIKk3AlzY90Cm0BtQjVcp1E9oyDC_1BTetg/lsparams/hls_chunk_host\,initcwndbps\,mh\,mm\,mn\,ms\,mv\,mvi\,pl/lsig/AG3C_xAwRQIhAMwSfMZI6ifSanMQn3Gcx3wHxkAfZjp6Mozq-PGMovxeAiA9jQNTgJLo4Uqxpxo8OH5ZbzFlHKRCvn2tfd6AhQD-8w%3D%3D/playlist/index.m3u8','https://maverick.co.id/wp-content/uploads/2019/08/49947075_2513524532009309_5683063978327015424_n.jpg',,0.0,0,''
7,7,0,'useesport','useesport','Sports',3,0,'https://cdn13jtedge.useetv.com/joss/15/useesport/chunklist_w1334320402_b1344100_sleng.m3u8?enc=5WVIBw3FznwyTni9uCTufw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845470','https://iix123.us.to/logo/useesport.png',,0.0,0,''
8,8,0,'useesports2','useesports2','Sports',3,0,'https://cdn10jtedge.useetv.com/joss/15/useesports2/chunklist_w748513946_b1344100_sleng.m3u8?enc=795GJt1J2rGHFVDdcdaDIg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608847810','https://iix123.us.to/logo/useesports2.png',,0.0,0,''
9,9,0,'foxsport1','foxsport1','Sports',3,0,'https://cdn10jtedge.useetv.com/joss/15/foxsport1/chunklist_w1651735309_b1344100_sleng.m3u8?enc=I-EsGKE4Eh2NbROMifQo6w&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846007','https://iix123.us.to/logo/foxsport1.png',,0.0,0,''
10,10,0,'foxsport2','foxsport2','Sports',3,0,'https://cdn10jtedge.useetv.com/joss/15/foxsport2/chunklist_w1889986000_b1344100_sleng.m3u8?enc=eP8XeNvckyHAHQOqhJr6xg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846011','https://iix123.us.to/logo/foxsport2.png',,0.0,0,''
